U,L,E_Nminus1,E_N,charge_gap,chi_c,spin_gap,alpha_c_estimate,alpha_s_estimate,status,timestamp
0.5,20,-22.4548956877,-22.3592398891,0.0956557986,10.4541493040,0.2677116539,-999.000000,-999.000000,OK,2026-07-15T08:24:37
0.5,40,-45.5665508801,-45.3961373238,0.1704135563,5.8680777632,0.1374357336,-0.833116,-0.961923,OK,2026-07-15T08:32:11
0.5,60,-68.6354687948,-68.4390936486,0.1963751462,5.0922941078,0.0920750598,-0.673920,-0.970472,OK,2026-07-15T08:47:42
0.5,80,-91.6924775703,-91.4829047118,0.2095728584,4.7716102529,0.0688971510,-0.575845,-0.977859,OK,2026-07-15T09:08:55
1.0,20,-20.4797232483,-20.1503896146,0.3293336336,3.0364344783,0.2430342505,-999.000000,-999.000000,OK,2026-07-15T09:10:25
1.0,40,-41.3558136792,-40.9467441591,0.4090695202,2.4445722566,0.1255579289,-0.312796,-0.952807,OK,2026-07-15T09:18:12
1.0,60,-62.1853900699,-61.7484533357,0.4369367341,2.2886608561,0.0844336009,-0.263312,-0.961312,OK,2026-07-15T09:31:24
1.0,80,-83.0018804404,-82.5508909682,0.4509894722,2.2173466604,0.0632892317,-0.230616,-0.969180,OK,2026-07-15T09:56:40
2.0,20,-17.0828739043,-16.3415530257,0.7413208786,1.3489435262,0.2037172023,-999.000000,-999.000000,OK,2026-07-15T09:58:46
2.0,40,-34.0547179080,-33.2236838739,0.8310340341,1.2033201518,0.1066028724,-0.164809,-0.934321,OK,2026-07-15T10:06:19
2.0,60,-50.9697149916,-50.1087847447,0.8609302469,1.1615342865,0.0723433628,-0.139239,-0.941511,OK,2026-07-15T10:20:18
2.0,80,-67.8690142008,-66.9943899503,0.8746242505,1.1433481286,0.0547603275,-0.121531,-0.946914,OK,2026-07-15T10:36:06
